更新时间,#genre#
2025-11-03,url
09:59:52,url
央视频道,#genre#
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8656&tk=f6cc1e0a0e1a
CCTV1,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=701afbfc9d2f77d62a9cc2f9479ecde3db6cef36d454660b5d2f0ffb3a1017d0e04c2e19dcbb7c344d80cfb64e43e90dd66c458476898ee612d0e2e9261645fcfc0d32fb90cdf2021d89c4877a
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.65:5140
CCTV1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv
CCTV1,http://117.174.25.254:8188/rtp/239.0.0.10:5140
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=b0831136e327a93587e1920b5595d227c66a7f1a6aabb8e7532bc0682db88a37af6a27b88fde476a02c5f83db38f3b3e864bcf981c57f7fed9877095a1e2fac1a149f0f8869c5c1dc147bee7be
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://113.106.171.234:8899/rtp/239.20.0.96:3016
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV1,http://223.167.245.20:8001/rtp/239.45.3.145:5140
CCTV1,http://220.169.100.41:10087/udp/239.76.246.151:1234
CCTV1,http://183.162.105.167:8888/rtp/238.1.78.166:7200
CCTV1,http://115.58.216.210:4000/rtp/225.1.4.73:1102
CCTV1,http://180.136.233.111:10099/udp/239.81.0.102:4056
CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.106.171.234:8899/rtp/239.20.0.104:2006
CCTV1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV1,http://61.134.253.35:8001/rtp/226.0.1.157:3086
CCTV1,http://118.79.12.62:6000/rtp/226.0.2.16:8040
CCTV1,http://61.159.135.169:4022/rtp/238.255.2.91:5999
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=16a362b923a43fa0d4ce2aba3ecd88cd5e53be41dc5d15a9d1c9bad7fb665c1a2cee1355de7ca1df5ea56c38b88d68c7837724e9d16f358d73f49a202d62a71f7b2eb754beefe9b46eb9e8ab25
CCTV1,http://116.179.149.157:6001/rtp/226.0.2.153:9136
CCTV1,http://118.79.12.62:6000/rtp/226.0.2.153:9136
CCTV1,http://118.79.12.65:6001/rtp/226.0.2.16:8040
CCTV1,http://118.79.12.65:6001/rtp/226.0.1.157:3086
CCTV1,http://118.79.12.62:6001/rtp/226.0.1.157:3086
CCTV1,http://223.198.241.248:4000/rtp/239.253.64.120:5140
CCTV1,http://61.134.253.35:8003/rtp/226.0.1.157:3086
CCTV1,http://118.79.12.65:6000/rtp/226.0.1.157:3086
CCTV1,http://118.79.12.62:6001/rtp/226.0.2.153:9136
CCTV1,http://58.48.104.134:4022/rtp/239.254.96.96:8550
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8
CCTV1,http://60.223.72.127:8001/rtp/226.0.1.157:3086
CCTV1,http://113.25.105.156:10000/rtp/239.1.1.7:8007
CCTV1,http://sh.lnott.top:880/dx01.m3u8
